,Start,End,Time Series Start,Time Series End,Unit,Fuel classification,Pmax available,Pmax available after the outage,Reason,Last updated
27,2022-06-18T12:32:00+02:00,2022-06-18T14:22:00+02:00,2022-06-18T12:32:00+02:00,2022-06-18T14:22:00+02:00,RODENHUIZE 4,Other,268.0,100.0,Awaiting information,2022-06-18T14:46:30+02:00
28,2022-06-17T17:33:00+02:00,2022-06-17T23:59:00+02:00,2022-06-17T17:33:00+02:00,2022-06-17T23:59:00+02:00,Amercoeur 1 R ST,NG,162.0,0.0,Awaiting information,2022-06-17T20:39:37+02:00
29,2022-06-17T17:33:00+02:00,2022-06-17T23:59:00+02:00,2022-06-17T17:33:00+02:00,2022-06-17T23:59:00+02:00,Amercoeur 1 R GT,NG,289.0,0.0,Awaiting information,2022-06-17T20:39:36+02:00
30,2022-06-16T19:58:00+02:00,2022-06-24T09:55:00+02:00,2022-06-16T19:58:00+02:00,2022-06-24T09:55:00+02:00,HERDERSBRUG GT1,NG,157.0,0.0,Awaiting information,2022-06-24T09:56:14+02:00
31,2022-06-16T14:19:00+02:00,2022-06-20T05:12:00+02:00,2022-06-16T14:19:00+02:00,2022-06-20T05:12:00+02:00,Zelzate 2 Knippegroen,Other,315.0,110.0,Awaiting information,2022-06-20T06:08:59+02:00
32,2022-06-16T14:17:00+02:00,2022-06-16T14:54:00+02:00,2022-06-16T14:17:00+02:00,2022-06-16T14:54:00+02:00,Amercoeur 1 R GT,NG,289.0,0.0,Awaiting information,2022-06-16T14:57:22+02:00
33,2022-06-16T14:17:00+02:00,2022-06-16T14:54:00+02:00,2022-06-16T14:17:00+02:00,2022-06-16T14:54:00+02:00,Amercoeur 1 R ST,NG,162.0,0.0,Awaiting information,2022-06-16T14:57:24+02:00
34,2022-06-15T20:07:00+02:00,2022-06-15T23:18:00+02:00,2022-06-15T20:07:00+02:00,2022-06-15T23:18:00+02:00,Aalst Syral GT,NG,43.0,0.0,Awaiting information,2022-06-15T23:48:05+02:00
35,2022-06-15T20:06:00+02:00,2022-06-15T23:17:00+02:00,2022-06-15T20:06:00+02:00,2022-06-15T23:17:00+02:00,Aalst Syral ST,NG,5.0,0.0,Start delay,2022-06-15T23:18:03+02:00
36,2022-06-13T23:22:00+02:00,2022-06-15T09:00:00+02:00,2022-06-13T23:22:00+02:00,2022-06-15T09:00:00+02:00,Aalst Syral ST,NG,5.0,0.0,Awaiting information,2022-06-13T23:23:51+02:00
37,2022-06-13T17:54:00+02:00,2022-06-15T09:00:00+02:00,2022-06-13T17:54:00+02:00,2022-06-15T09:00:00+02:00,Aalst Syral GT,NG,43.0,0.0,Awaiting information,2022-06-13T18:50:06+02:00
38,2022-06-13T07:00:00+02:00,2022-06-13T18:00:00+02:00,2022-06-13T07:00:00+02:00,2022-06-13T18:00:00+02:00,Northwind,WI,216.0,0.0,Overhaul,2022-06-28T10:45:27+02:00
39,2022-06-12T03:45:00+02:00,2022-06-12T06:01:00+02:00,2022-06-12T03:45:00+02:00,2022-06-12T06:01:00+02:00,RODENHUIZE 4,Other,268.0,160.0,Technical failure,2022-06-12T03:48:14+02:00
40,2022-06-12T03:00:00+02:00,2022-06-12T03:44:00+02:00,2022-06-12T03:00:00+02:00,2022-06-12T03:44:00+02:00,RODENHUIZE 4,Other,268.0,35.0,Test,2022-06-12T03:48:07+02:00
41,2022-06-12T02:54:00+02:00,2022-06-12T03:00:00+02:00,2022-06-12T02:54:00+02:00,2022-06-12T03:00:00+02:00,RODENHUIZE 4,Other,268.0,81.0,Technical failure,2022-06-12T03:48:04+02:00
42,2022-06-09T09:14:00+02:00,2022-06-09T11:01:00+02:00,2022-06-09T09:14:00+02:00,2022-06-09T11:01:00+02:00,Zelzate 2 Knippegroen,Other,315.0,120.0,Fuel Supply Failure,2022-06-09T11:14:02+02:00
43,2022-06-08T09:30:00+02:00,2022-06-08T12:30:00+02:00,2022-06-08T09:30:00+02:00,2022-06-08T12:30:00+02:00,COO 2 T,WA,158.0,0.0,Awaiting information,2022-06-08T09:25:48+02:00
44,2022-06-07T12:05:00+02:00,2022-06-08T16:59:00+02:00,2022-06-07T12:05:00+02:00,2022-06-08T16:59:00+02:00,Amercoeur 1 R ST,NG,162.0,87.5,Awaiting information,2022-06-08T19:45:08+02:00
45,2022-06-07T12:05:00+02:00,2022-06-08T16:59:00+02:00,2022-06-07T12:05:00+02:00,2022-06-08T16:59:00+02:00,Amercoeur 1 R GT,NG,289.0,162.5,Awaiting information,2022-06-08T19:45:05+02:00
46,2022-06-07T11:49:00+02:00,2022-06-07T12:04:00+02:00,2022-06-07T11:49:00+02:00,2022-06-07T12:04:00+02:00,Amercoeur 1 R ST,NG,162.0,105.0,Awaiting information,2022-06-07T12:10:20+02:00
